Designator,Mid X,Mid Y,Rotation,Layer
J1,87.63,-111.76,90.0,top
J2,87.63,-127.0,90.0,top
J3,96.52,-113.03,180.0,top
J4,96.52,-125.73,0.0,top
P1,87.63,-119.38,270.0,top
R1,95.25,-118.11,0.0,top
R2,95.25,-120.65,0.0,top
